S. No.,Player,Team,Type,Role,Tier,Base Price,Winning Bid,Owner,,,,,,,,
1,Shubman Gill,Gujarat Titans,I,Batsman,2,2.5,7.5,Sauri,,,,,,,,
2,Sai Sudarshan,Gujarat Titans,I,Batsman,3,1,,,,,,,,,,
3,Abhinav Sadarangani,Gujarat Titans,I,Batsman,3,1,,,,,,,,,,
4,Rahmanullah Gurbaz,Gujarat Titans,O,WK,3,1,,,,Avadesh,Dhruv,Pranav,Ram,Sauri,Shekhar,Sree
5,David Miller,Gujarat Titans,O,Batsman,2,2.5,,,,75,75,75,75,75,75,75
6,Matthew Wade,Gujarat Titans,O,WK,2,2.5,2.5,Shekhar,1,12,12.5,12.5,8.5,7.5,12,8
7,Wriddhiman Saha,Gujarat Titans,I,WK,2,2.5,1,Ram,2,10,2.5,11,8,6,9.5,6.5
8,Rashid Khan,Gujarat Titans,O,Bowler,1,5,13,Pranav,3,9.5,1,2.5,10,8.5,2.5,4.5
9,Varun Aaron,Gujarat Titans,I,Bowler,3,1,,,4,8.5,10.5,13,7.5,8,1,7
10,Darshan Nalkande,Gujarat Titans,I,Bowler,3,1,,,5,5.5,8.5,8.5,5.5,1,9,7.5
11,Yash Dayal,Gujarat Titans,I,Bowler,3,1,,,6,12.5,2.5,2.5,7,9.5,8,3
12,Pradeep Sangwan,Gujarat Titans,I,Bowler,3,1,,,7,3.5,7.5,4,4.5,11,1,6.5
13,Alzarri Joseph,Gujarat Titans,O,Bowler,3,1,,,8,4.5,5,2.5,2.5,7.5,9.5,4.5
14,R Sai Kishore,Gujarat Titans,I,Bowler,3,1,,,9,1,2.5,2.5,13.5,2.5,3.5,4.5
15,Noor Ahmad,Gujarat Titans,O,Bowler,3,1,,,10,0.5,2.5,5.5,1,1,8,8
16,Lockie Ferguson,Gujarat Titans,O,Bowler,2,2.5,3.5,Shekhar,11,1,2.5,4,1,9,2.5,12.5
17,Mohammed Shami,Gujarat Titans,I,Bowler,1,5,7.5,Ram,12,1.5,3.5,1,1,1.5,2.5,1
18,Hardik Pandya,Gujarat Titans,I,All-Rounder,2,2.5,12,Avadesh,13,1,1,4,1,0.5,1.5,0.5
19,Dominic Drakes,Gujarat Titans,O,All-Rounder,3,1,,,14,1,3,1,1,1,0.5,0.5
20,Vijay Shankar,Gujarat Titans,I,All-Rounder,2,2.5,,,15,1,3.5,0.5,1,0.5,2.5,0.5
21,Jayant Yadav,Gujarat Titans,I,All-Rounder,3,1,,,Money:,,,,,,,
22,Gurkeerat Singh Mann,Gujarat Titans,I,All-Rounder,3,1,,,Spent,73,68.5,75,73,75,73.5,75
23,Rahul Tewatia,Gujarat Titans,I,All-Rounder,2,2.5,1,Avadesh,Remaining,2,6.5,0,2,0,1.5,0
