1,Shubman Gill,Gujarat Titans,I,Batsman,2,2.5,7.5,Sauri,shubman-gill,11808
26,Robin Uthappa,Chennai Super Kings,I,Batsman,2,2.5,2.5,Sauri,robin-uthappa,527
55,Yash Dhull,Delhi Capitals,I,Batsman,3,1,1,Sauri,yash-dhull,22556
78,Aaron Finch,Kolkata Knight Riders,O,Batsman,2,2.5,1.5,Sauri,aaron-finch,1643
91,Andre Russell,Kolkata Knight Riders,O,All-Rounder,2,2.5,7.5,Sauri,andre-russell,7736
99,Manish Pandey,Lucknow Super Giants,I,Batsman,2,2.5,1,Sauri,manish-pandey,1836
116,Krunal Pandya,Lucknow Super Giants,I,All-Rounder,2,2.5,6,Sauri,krunal-pandya,11311
118,Rohit Sharma,Mumbai Indians,I,Batsman,1,5,9.5,Sauri,rohit-sharma,576
165,Liam Livingstone,Punjab Kings,O,All-Rounder,2,2.5,8.5,Sauri,liam-livingstone,10045
166,Rishi Dhawan,Punjab Kings,I,All-Rounder,3,1,0.5,Sauri,rishi-dhawan,8616
184,Yuzvendra Chahal,Rajasthan Royals,I,Bowler,1,5,9,Sauri,yuzvendra-chahal,7910
192,Virat Kohli,Royal Challengers Bangalore,I,Batsman,1,5,11,Sauri,virat-kohli,1413
202,Siddharth Kaul,Royal Challengers Bangalore,I,Bowler,3,1,0.5,Sauri,siddarth-kaul,1828
213,Wanindu Hasaranga,Royal Challengers Bangalore,O,All-Rounder,2,2.5,8,Sauri,wanindu-hasaranga,10926
232,Abdul Samad,Sun Risers Hyderabad,I,All-Rounder,3,1,1,Sauri,abdul-samad,14628
6,Matthew Wade,Gujarat Titans,O,WK,2,2.5,2.5,Shekhar,matthew-wade,1649
16,Lockie Ferguson,Gujarat Titans,O,Bowler,2,2.5,3.5,Shekhar,lockie-ferguson,10692
24,MS Dhoni,Chennai Super Kings,I,WK,2,2.5,2.5,Shekhar,ms-dhoni,265
49,Rishabh Pant,Delhi Capitals,I,WK,1,5,8,Shekhar,rishabh-pant,10744
96,Nitish Rana,Kolkata Knight Riders,I,All-Rounder,2,2.5,9.5,Shekhar,nitish-rana,9204
113,K Gowtham,Lucknow Super Giants,I,All-Rounder,3,1,1,Shekhar,krishnappa-gowtham,8925
127,Jasprit Bumrah,Mumbai Indians,I,Bowler,1,5,9.5,Shekhar,jasprit-bumrah,9311
143,Mayank Agarwal,Punjab Kings,I,Batsman,1,5,9,Shekhar,mayank-agarwal,2195
160,Rahul Chahar,Punjab Kings,I,Bowler,2,2.5,2.5,Shekhar,rahul-chahar,12087
171,Devdutt Padikkal,Rajasthan Royals,I,Batsman,1,5,8,Shekhar,devdutt-padikkal,13088
195,Dinesh Karthik,Royal Challengers Bangalore,I,WK,3,1,1.5,Shekhar,dinesh-karthik,145
207,Glenn Maxwell,Royal Challengers Bangalore,O,All-Rounder,1,5,12,Shekhar,glenn-maxwell,7662
219,Priyam Garg,Sun Risers Hyderabad,I,Batsman,3,1,1,Shekhar,priyam-garg,12089
234,Sean Abbott,Sun Risers Hyderabad,O,All-Rounder,3,1,0.5,Shekhar,sean-abbott,8136
236,Washington Sundar,Sun Risers Hyderabad,I,All-Rounder,2,2.5,2.5,Shekhar,washington-sundar,10945
7,Wriddhiman Saha,Gujarat Titans,I,WK,2,2.5,1,Ram,wriddhiman-saha,1465
